X,title,date_posted,position,location,url,District,Archive_Date
1,Athletic Director - Middle School - Burlington,5/19/2025,Athletic Director/,Burlington Schools,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
2,Assistant MS Football Coach - Burlington,5/15/2025,Athletics/ Activities/,Burlington Schools,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
3,Assistant High School Girls Volleyball Coach - RMHS,1/13/2025,Athletics/ Activities/,Rocky Mountain Middle/High School,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
4,2 Assistant Middle School Boys Basketball Coach - RMMS,2/27/2025,Athletics/ Activities/,Rocky Mountain Middle/High School,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
5,Assistant MS Football Coach - RMMS,4/18/2025,Athletics/ Activities/,Rocky Mountain Middle/High School,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
6,Assistant Wrestling Coach - Girls / Boys - RMHS,4/21/2025,Athletics/ Activities/,Rocky Mountain Middle/High School,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
7,Food Service Assistant - 20 hrs/week - Burlington,5/28/2025,Food Service/,Burlington Schools,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
8,Title I Elementary Paraprofessional (Instructional) - Burlington - 28 hrs,5/12/2025,Paraprofessional/,Burlington Schools,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
9,Special Education MS/HS Life Skills Teacher - RMMHS,6/5/2025,Special Education Teaching/,Rocky Mountain Middle/High School,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
10,Sub Nurse,9/23/2020,Student Support Services/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
11,Sub - Teacher,9/23/2020,Substitute/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
12,Sub- Custodial/Cook/Secretary,9/23/2020,Support Staff/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
13,Sub - Paraprofessional,9/23/2020,Support Staff/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
14,Sub- Route Bus Driver - Burlington,9/23/2020,Support Staff/,Bus Barn - South,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
15,Sub- Route Bus Driver - Cowley,9/23/2020,Support Staff/,Bus Barn - North,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,7/4/2025
16,High School Assistant Wrestling Coach,6/16/2025,Athletics/Activities,Lovell High School,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,7/4/2025
17,Substitute Teacher,3/30/2022,Substitute/,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,7/4/2025
18,Substitute Route and Activity Bus Drivers,3/29/2022,Transportation,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,7/4/2025
19,Route Bus Driver,5/27/2025,Transportation/,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,7/4/2025
20,Elementary School Special Education Teacher,5/19/2025,Elementary School Teaching/,Greybull Elementary School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,7/4/2025
21,School Nurse,5/16/2025,Student Support Services/,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,7/4/2025
22,Middle School Assistant Boys Basketball Coach,6/11/2025,Athletics/Activities,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,7/4/2025
23,Middle School Assistant Volleyball Coach,6/23/2025,Athletics/Activities,Greybull Middle School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,7/4/2025
24,Paraprofessional- Elementary School,6/3/2025,Support Staff/,Greybull Elementary School(High-Needs School),https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,7/4/2025
25,Substitute Teacher,7/5/2017,Substitute/,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,7/4/2025
26,24-25 Substitute Bus Driver / Activity Driver,12/17/2024,Transportation/,Transportation,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,7/4/2025
27,Head Boys and Girls Track Coach,2/12/2025,Athletics/Activities,Riverside High School,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,7/4/2025
28,Assistant Middle School Volleyball Coach,2/12/2025,Athletics/Activities,Riverside Middle School,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,7/4/2025
29,Middle School Girls Head Basketball Coach,6/11/2025,Athletics/Activities,Riverside Middle School,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,7/4/2025
30,CTE Woods/CAD Teacher,5/13/2025,High School Teaching,Riverside High School,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,7/4/2025
31,Math Teach,5/13/2025,High School Teaching/,Riverside High School,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,7/4/2025
32,Special Education Paraprofessional,5/5/2025,Paraprofessional/,Riverside High School,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,7/4/2025
