X,title,date_posted,position,location,url,District,Archive_Date
1,Assistant High School Boys Basketball Coach - BUR,3/25/2024,Athletics/ Activities/,Burlington Schools,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
2,Assistant Wrestling Coach - RMHS,8/20/2024,Athletics/ Activities/,Rocky Mountain Middle/High School,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
3,Building Custodian - Burlington Schools - 20 hrs. / week - year round,10/30/2024,Maintenance/ Custodial/,Burlington Schools,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
4,Sub Nurse,9/23/2020,Student Support Services/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
5,Sub - Teacher,9/23/2020,Substitute/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
6,Sub- Custodial/Cook/Secretary,9/23/2020,Support Staff/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
7,Sub - Paraprofessional,9/23/2020,Support Staff/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
8,Sub- Route Bus Driver - Burlington,9/23/2020,Support Staff/,Bus Barn - South,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
9,Sub- Route Bus Driver - Cowley,9/23/2020,Support Staff/,Bus Barn - North,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/1/2024
10,High School Boys Assistant Basketball Coach,10/22/2024,Athletics/Activities,Lovell High School,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/1/2024
11,Maintenance Director,10/16/2024,Maintenance/Custodial/,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/1/2024
12,Substitute Teacher,3/30/2022,Substitute/,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/1/2024
13,Special Education Paraprofessional,10/30/2024,Support Staff/,Lovell Elementary School,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/1/2024
14,Substitute Route and Activity Bus Drivers,3/29/2022,Transportation,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/1/2024
15,Route Bus Driver,1/18/2024,Transportation/,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/1/2024
16,Middle Track Coach,8/29/2024,Athletics/Activities,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/1/2024
17,Assistant High School Speech Sponsor / Coach,9/18/2024,Athletics/Activities/,Greybull High School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/1/2024
18,Bus Driver,8/2/2024,Transportation,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/1/2024
19,Substitute Teacher,7/5/2017,Substitute/,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/1/2024
20,High School Science Research Sponsor (Internal Applicants Only),8/2/2024,Athletics/Activities/,Greybull High School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/1/2024
21,21 CCLC After School Program Activity Leaders,1/21/2020,Student Support Services,Laura Irwin Elementary,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,11/1/2024
22,Bus Driver,1/7/2022,Support Staff,District,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,11/1/2024
23,Maintenance Director,10/28/2024,Administration/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
24,Daycare Director,10/30/2024,Administration/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
25,Rawlins Aquatics Center,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
26,Rawlins Aquatics Center - Part Time,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
27,Rawlins Aquatics Center - Full Time,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
28,Part Time Pre-K Teacher,10/3/2024,Elementary School Teaching/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
29,Music Teacher,10/3/2024,Elementary School Teaching/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
30,Food Service - Substitute,2/16/2024,Food Service,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
31,Food Service Substitute,2/16/2024,Food Service,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
32,Science Teacher,10/25/2024,High School Teaching,Victory High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
33,P.E./Health K-12 Teacher,10/3/2024,High School Teaching/,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
34,Custodial - Substitute,2/16/2024,Maintenance/Custodial,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
35,Custodial - Substitute,2/16/2024,Maintenance/Custodial,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
36,Maintenance Worker,10/24/2024,Maintenance/Custodial/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
37,Middle School Math Teacher,3/11/2024,Middle School Teaching,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
38,Choir Teacher/Music,10/3/2024,Middle School Teaching/,Rawlins Middle School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
39,Special Education Teacher,10/3/2024,Special Education/,Rawlins High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
40,Special Ed. Para Professional,8/28/2024,Special Education/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
41,Special Ed. Para Professional,10/28/2024,Special Education/,Rawlins High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
42,Special Ed. Teacher (High Needs),2/6/2024,Special Education/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
43,Special Ed. Para Professionals,6/13/2024,Special Education/,Rawlins Middle School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
44,Special Ed. Para Professional,8/14/2024,Special Education/,Rawlins Middle School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
45,WBI - Mental Health Aide/Case Manager School-Based,10/29/2024,Student Support Services,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
46,Substitute Teacher,4/23/2024,Substitute/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
47,LSRV Substitute Teacher,4/23/2024,Substitute/,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
48,Building Para Professional,8/15/2024,Support Staff/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
49,Bus Detailer,9/22/2023,Transportation,Transportation,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
50,Bus Driver,11/17/2023,Transportation/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
51,Substitute Bus Driver,9/13/2022,Transportation/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
52,Bus Driver,9/22/2023,Transportation/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
53,Substitute Bus Driver,9/22/2023,Transportation/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/1/2024
54,Other Assistant Middle School Boys Basketball Coach,4/2/2024,Athletics/Activities/,H-E-M Junior/Senior High School,https://www.applitrack.com/crb2/onlineapp/default.aspx?all=1,Carbon County School District 2,11/1/2024
